wave flux err    
10819.8 71.9143 51.7784
10820.4 52.1878 52.3624
10821.0 20.6241 51.187
10821.6 3.06909 48.5253
10822.2 -10.0444 48.3562
10822.8 49.6361 52.9678
10823.4 38.2638 64.8444
10824.0 88.2528 63.0286
10824.6 77.2724 57.9279
10825.2 45.5076 48.0125
10825.8 34.1772 48.004
10826.4 0.0972612 47.7176
10827.0 32.0631 48.7752
10827.6 69.0395 52.7463
10828.2 32.3014 72.0585
10828.8 121.528 82.6407
10829.4 44.4889 90.6917
10830.0 -3.24952 149.66
10830.6 207.177 196.405
10831.2 80.4836 200.408
10831.8 -88.0716 198.377
10832.4 111.668 136.819
10833.0 84.5335 58.6864
10833.6 1.56877 49.88
10834.2 63.726 48.6216
10834.8 3.84037 48.072
10835.4 41.5351 47.9632
10836.0 28.8263 48.6943
10836.6 50.2662 53.0798
10837.2 84.2589 57.7131
10837.8 6.40587 58.1188
10838.4 34.1073 56.415
10839.0 -0.142621 50.6742
10839.6 3.34693 48.6735
10840.2 26.6182 70.9935
10840.8 -16.8667 111.424
10841.4 2.81381 121.518
10842.0 58.4752 120.413
10842.6 112.299 100.628
10843.2 54.6401 58.4068
10843.8 36.782 46.9322
10844.4 -0.423502 45.3172
10845.0 30.0328 46.8267
10845.6 68.4711 45.7412
10846.2 0.640175 45.1953
10846.8 32.4704 45.2842
10847.4 31.1826 45.5514
10848.0 64.9023 44.8261
10848.6 16.596 44.6062
10849.2 29.6985 44.6627
10849.8 60.1384 44.5181
10850.4 35.2781 46.1156
10851.0 -0.0328085 48.1138
10851.6 43.3139 49.0383
10852.2 43.1916 48.3418
10852.8 24.9966 46.6051
10853.4 35.8199 44.7237
10854.0 -3.35748 43.9518
10854.6 1.13103 46.3898
10855.2 4.86586 59.167
10855.8 15.2682 70.1873
10856.4 46.6835 77.8388
10857.0 -16.2855 76.9073
10857.6 47.66 66.0344
10858.2 13.1752 51.9645
10858.8 38.7997 45.7367
10859.4 26.733 48.0172
10860.0 60.7042 48.3668
10860.6 29.9892 46.2271
10861.2 42.0418 44.9926
10861.8 11.4941 46.403
10862.4 19.2873 46.1862
